City,Country,Region,Cost of Living,Female:Male Ratio,English Proficiency,Ease of Travel,Safety,Weather,Dating App Activity,Cultural Openness,Internet Speed,Expat Community,Healthcare Quality,Flight Connectivity,Air Quality,Political Stability,Nightlife & Social Scene,Raw_USD,Raw_Mbps,Raw_AQI
Chiang Mai,Thailand,Southeast Asia,82.0,83.9,17.8,74.0,88.3,93.0,82.0,88.0,26.0,65.8,85.1,57.0,0.0,54.2,40.0,920,110,142
Bangkok,Thailand,Southeast Asia,71.8,86.2,17.8,74.0,62.8,82.5,93.0,88.0,50.0,100.0,77.3,62.0,51.6,54.2,100.0,1450,210,79
Phuket,Thailand,Southeast Asia,68.2,75.9,17.8,74.0,60.7,86.0,67.0,82.0,18.0,67.0,75.0,60.0,82.0,54.2,80.0,1650,90,42
Bali (Canggu/Ubud),Indonesia,Southeast Asia,78.1,80.5,23.2,70.0,42.5,89.5,72.0,73.0,8.0,70.0,62.0,60.0,79.5,55.5,60.0,1350,58,45
Ho Chi Minh City,Vietnam,Southeast Asia,92.2,85.1,32.9,75.0,43.5,86.0,90.0,87.0,24.0,67.0,62.6,72.0,68.9,66.0,80.0,1150,95,58
Hanoi,Vietnam,Southeast Asia,91.9,83.9,32.9,75.0,69.8,100.0,82.0,82.0,26.0,63.3,56.9,62.0,42.6,66.0,60.0,1000,92,90
Da Nang,Vietnam,Southeast Asia,95.2,81.6,32.9,75.0,86.3,93.0,79.0,84.0,20.0,82.6,54.0,57.0,67.2,66.0,60.0,875,68,60
Kuala Lumpur,Malaysia,Southeast Asia,78.0,75.9,60.1,84.0,29.7,86.0,65.0,52.0,30.0,70.8,69.5,62.0,84.4,72.5,40.0,1250,160,39
Penang,Malaysia,Southeast Asia,84.0,78.2,60.1,84.0,77.1,86.0,60.0,60.0,22.0,62.0,68.0,55.0,79.5,72.5,80.0,1000,130,45
Singapore,Singapore,Southeast Asia,0.0,81.6,100.0,82.0,87.7,89.5,62.0,62.0,100.0,63.9,71.9,82.0,72.1,86.9,60.0,4000,265,54
Manila,Philippines,Southeast Asia,81.1,83.9,56.0,81.0,21.0,86.0,88.0,97.0,24.0,62.0,62.5,82.0,72.1,52.7,80.0,1150,68,54
Krabi,Thailand,Southeast Asia,72.0,79.0,17.8,74.0,72.0,86.0,62.0,85.0,15.0,60.0,68.0,45.0,82.0,37.0,55.0,1200,15,62
Ko Pha Ngan,Thailand,Southeast Asia,68.0,77.0,17.8,74.0,70.0,86.0,58.0,88.0,10.0,65.0,55.0,35.0,87.0,37.0,90.0,1350,10,52
Ko Lanta,Thailand,Southeast Asia,76.0,80.0,17.8,74.0,74.0,86.0,55.0,82.0,10.0,58.0,52.0,42.0,86.0,37.0,40.0,1100,10,53
Nakhon Ratchasima,Thailand,Southeast Asia,85.0,82.0,17.8,74.0,68.0,82.5,58.0,65.0,20.0,38.0,65.0,38.0,46.0,37.0,30.0,850,20,99
